Sequence,20-0027-DNA,20-0027-RNA,20-0030-DNA,20-0030-RNA,20-0036-DNA,20-0036-RNA,20-0048-RNA,20-0052-DNA,20-0052-RNA,20-0071-DNA,20-0071-RNA,20-0078-DNA,20-0078-RNA,20-0095-DNA,20-0095-RNA,20-0103-DNA,20-0103-RNA,20-0115-DNA,20-0115-RNA,20-0123-DNA,20-0123-RNA,20-0140-DNA,20-0140-RNA,20-0143-DNA,20-0143-RNA,20-0148-DNA,20-0148-RNA,20-0150-DNA,20-0150-RNA,20-0166-DNA,20-0166-RNA,20-0171-DNA,20-0171-RNA,20-0180-RNA,20-0186-DNA,20-0210-DNA,20-0210-RNA,20-0219-DNA,20-0219-RNA,20-0224-DNA,20-0224-RNA,20-0226-DNA,20-0226-RNA,20-0235-DNA,20-0235-RNA,20-0240-DNA,20-0240-RNA,20-0250-DNA,20-0250-RNA,20-0255-DNA,20-0255-RNA,20-0256-DNA,20-0256-RNA,20-0283-DNA,20-0283-RNA,20-0290-DNA,20-0290-RNA,20-0311-DNA,20-0311-RNA,20-0324-DNA,20-0324-RNA,20-0327-DNA,20-0327-RNA,20-0331-DNA,20-0331-RNA,20-0335-DNA,20-0335-RNA,20-0351-DNA,20-0351-RNA,20-0360-DNA,20-0362-DNA,20-0400-DNA,20-0400-RNA,20-0418-DNA,20-0418-RNA,20-0425-DNA,20-0425-RNA,20-0426-DNA,20-0426-RNA,20-0442-DNA,20-0442-RNA,20-0454-DNA,20-0454-RNA,20-0466-DNA,20-0466-RNA,20-0474-DNA,20-0474-RNA,20-0479-DNA,20-0479-RNA,20-0503-DNA,20-0503-RNA,20-0506-DNA,20-0506-RNA,20-0515-DNA,20-0515-RNA,20-0524-DNA,20-0524-RNA,20-0536-RNA,20-0538-DNA,20-0538-RNA,20-0543-DNA,20-0543-RNA,20-0564-DNA,20-0564-RNA,20-0578-DNA,20-0578-RNA,20-0583-DNA,20-0583-RNA,20-0593-DNA,20-0593-RNA,20-0599-DNA,20-0599-RNA,20-0608-DNA,20-0608-RNA,20-0611-DNA,20-0611-RNA,20-0618-DNA,20-0618-RNA,20-0623-DNA,20-0623-RNA,20-0626-DNA,20-0626-RNA,20-0632-RNA
Seq1,0,0,48856,0,6,0,0,27313,0,7,0,96164,0,3,0,0,0,8,0,0,0,17090,5423,0,0,0,0,3,0,4,0,6,0,0,2,0,7555,4,0,0,0,4,0,11,0,0,15225,0,0,0,0,3,0,0,24282,4,0,0,0,5,0,0,0,0,0,6,0,0,0,3,6,0,0,0,0,0,0,0,0,5,0,0,0,2,43504,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,24,0,0,0,0,0,7,0,0,0,0,0,0
Seq2,27945,0,0,2498,0,43,0,19,0,0,0,0,3064,11,0,8,0,0,0,0,8,0,0,0,0,11,0,18969,0,0,0,0,0,0,0,0,2,49,14966,90,0,8,0,24,1768,0,0,12,0,0,0,0,0,0,0,16193,120,0,0,12,0,153,5,0,0,18791,0,0,0,42,0,0,0,7,7,0,0,0,5,39068,0,22774,8191,642,0,14695,2,15,0,0,0,0,327,0,0,0,0,0,47936,3082,731,3435,0,2,75,1357,7,0,21,0,10,0,0,0,27387,0,0,0,0,0,19,0,0
Seq3,0,0,46,0,11,0,0,21993,0,0,362,1719,0,0,1247,0,0,0,0,0,0,21022,10879,5,0,361,445,0,0,8107,165,0,57,0,81,0,59396,0,16,0,9,422,0,0,0,4681,342,0,159,0,6167,10926,8459,11,66120,0,0,0,0,0,0,5004,130,12,0,0,0,0,0,266,0,0,7648,532,0,0,623,0,0,0,0,0,0,0,12375,0,1393,0,122,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,251,0,188,0,0,0,0,629,0,0,0,3,106,0,833,0,0
Seq4,0,30,0,0,3860,0,308,7,0,2585,94,225,3,128,8228,0,0,0,48,0,3749,0,0,0,12058,1810,41737,2,0,427,0,0,4550,0,463,0,165,0,0,0,0,47978,12287,0,0,1842,0,11083,552,0,1065,687,159,0,0,0,0,0,0,0,0,0,7177,0,0,0,492,911,3,400,0,844,0,715,0,0,1179,0,0,5,0,0,0,0,3345,0,18222,1827,0,279,0,585,0,0,7685,0,1435,0,0,0,0,8,0,922,0,0,87,0,8,5,0,0,0,1051,0,0,0,142,1393,11061,2878,0,1776
Seq5,2207,0,0,20553,0,4,84,16,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,3,0,61708,0,0,0,0,5,0,0,0,0,9,41,0,0,0,27,19,51656,33,0,37,0,0,0,0,0,0,4,0,0,0,0,11,0,10,0,0,0,9,0,0,0,93,0,6,0,6,0,0,0,0,0,82,0,245,1882,13,0,53629,4,0,0,0,2,0,0,0,0,0,0,0,7,136,0,0,0,0,81,27,0,0,0,0,15,0,0,0,1560,0,0,0,15,0,0,0,0
Seq6,11,0,0,0,5193,0,0,5,0,0,427,0,4,73856,0,0,0,0,0,0,0,0,8,0,2034,1202,3599,0,0,18,0,0,0,0,11,0,0,2,0,131,0,24318,0,0,0,953,0,0,266,0,120,251,6,0,0,0,0,0,0,0,0,82,0,0,0,13,0,0,0,8,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,7,152,0,0,0,0,0,0,0,0,0,64510,0,0,0,0,0,2,5,6,0,4387,0,0,0,4,0,0,0,4,0,0,3,4,0,0,0,0
Seq7,6,153,0,0,0,0,1486,0,0,0,117,347,0,943,18490,20850,15,0,0,0,0,81,3,0,2,110,116,9,413,103,2837,0,9,10481,0,0,0,0,0,432,5,309,0,0,0,202,17,9,0,4,0,174,0,1238,3,0,1468,3,12500,946,0,5,12351,0,31018,0,0,4933,0,229,407,45,6,332,0,0,195,0,0,0,1058,0,0,263,1042,0,30,8,456,604,157,0,834,0,6371,604,1617,0,0,0,577,0,3,1323,0,0,227,0,1517,616,4854,0,0,183,4,3,0,0,7229,8,6979,812,9
Seq8,7,0,24289,0,0,0,0,0,0,0,0,915,0,0,51,21,0,0,5669,0,24,0,0,0,0,0,0,8,15,107,0,0,0,29659,0,0,0,0,0,11,0,0,0,6209,18,0,43113,0,0,0,0,151,158,0,0,0,5443,8,9,0,0,0,0,0,0,0,0,0,6135,0,4387,0,0,0,10,0,0,3144,0,19,0,17,0,6097,3909,12,0,0,0,0,0,0,90,0,0,3316,14,0,0,27,8,6,8,0,977,0,0,0,0,3391,0,3434,0,0,13,43,0,0,0,0,0,4355,0
Seq9,0,0,0,0,8618,0,0,0,27,0,67,0,0,0,0,0,121,0,0,0,0,113,0,0,5244,0,1742,0,0,1908,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,39,140,38241,0,0,387,0,0,0,0,0,762,0,33418,0,0,1173,0,12,0,0,0,0,0,0,0,0,0,40,0,0,14783,877,0,0,0,23,0,0,0,0,697,0,1678,6395,0,0,0,79,560,0,0,0,0,0,86,0,0,0,0,0,0,0,15082,0,0,0,7596,0,0,2741,39
Seq10,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1251,0,0,0,20,0,0,10,0,62,0,0,0,0,0,0,0,105,0,0,0,0,65,263,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27080,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,18778,16383,0,0,0,0,0,20305,0,0,0,0,0,0,4,0,0,0,0,29,0,33460,0,0,0,0,0,0,0,0,0,0,0,0,0,7570
