Sequence,root,cellular,domain,group,kingdom,,,,,,,,,,,,,,,,,,,,,,
Seq1365,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq2083,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq2795,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq3070,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq3495,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq4152,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq4907,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq5061,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq5869,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq6168,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq7636,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq7955,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq8001,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq8102,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq8114,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9006,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9169,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9454,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9458,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9466,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9513,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9627,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9689,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq9716,root,cellular organisms,,,,,,,,,,,,,,,,,,,,,,,,,
Seq4267,root,cellular organisms,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,
