ID,project,region,site,dist_along_transect,sample_type,mass,direction,coordinates,end coordniate,litter_depth_cm,dbh,denisometer,pct_litter,pct_grass,pct_herb,pct_bare
20.0058,lobata,lisque,20.1000,NaN,tube_1,1.09,N,"34.69526, 120.04920",,9,115,35/87,9,75-86,9,0-4
20.0060,lobata,lisque,20.1000,NaN,tube_2,1.43,N,"34.69526, 120.04921",,8,116,35/88,8,75-87,8,0-3
20.0059,lobata,lisque,20.1000,NaN,tube_3,NaN,N,"34.69526, 120.04922",,7,117,35/89,7,75-88,7,0-2
20.0520,lobata,lisque,20.1000,NaN,tube_1,1.90,SE,"34.69526, 120.04923",,6,118,35/90,6,75-89,6,0-1
20.0519,lobata,lisque,20.1000,NaN,tube_2,1.57,SE,"34.69526, 120.04924",,5,119,35/91,5,75-90,5,0-0
20.0518,lobata,lisque,20.1000,NaN,tube_3,NaN,SE,"34.69526, 120.04925",,4,120,35/92,4,75-91,4,0-1
20.0175,lobata,lisque,20.1000,NaN,tube_1,1.62,SW,"34.69526, 120.04926",,3,121,35/93,3,75-92,3,0-2
20.0176,lobata,lisque,20.1000,NaN,tube_2,1.85,SW,"34.69526, 120.04927",,2,122,35/94,2,75-93,2,0-3
20.0174,lobata,lisque,20.1000,NaN,tube_3,NaN,SW,"34.69526, 120.04928",,1,123,35/95,1,75-94,1,0-4
20.1000,lobata,lisque,20.1000,NaN,tree,NaN,NaN,"34.69526, 120.04929",,0,124,35/96,0,75-95,0,0-5
20.0057,lobata,lisque,20.1000,NaN,soils bag,NaN,N,"34.69526, 120.04929",,0,124,35/96,0,75-95,0,0-5
20.0653,lobata,lisque,20.1000,NaN,root bag,NaN,N,"34.69526, 120.04929",,0,124,35/96,0,75-95,0,0-5
20.0517,lobata,lisque,20.1000,NaN,soils bag,NaN,SE,"34.69526, 120.04929",,0,124,35/96,0,75-95,0,0-5
20.0701,lobata,lisque,20.1000,NaN,root bag,NaN,SE,"34.69526, 120.04929",,0,124,35/96,0,75-95,0,0-5
20.0173,lobata,lisque,20.1000,NaN,soils bag,NaN,SW,"34.69526, 120.04929",,0,124,35/96,0,75-95,0,0-5
20.0714,lobata,lisque,20.1000,NaN,root bag,NaN,SW,"34.69526, 120.04929",,0,124,35/96,0,75-95,0,0-5
20.0084,lobata,lisque,20.1001,NaN,tube_1,1.45,N,"34.69465, 120.04868",,7,88,52/87,5-16,25-41,5-16,0-4
20.0083,lobata,lisque,20.1001,NaN,tube_2,1.71,N,"34.69465, 120.04869",,6,89,52/88,5-17,25-42,5-17,0-3
20.0082,lobata,lisque,20.1001,NaN,tube_3,NaN,N,"34.69465, 120.04870",,5,90,52/89,5-18,25-43,5-18,0-2
20.0446,lobata,lisque,20.1001,NaN,tube_1,1.55,SE,"34.69465, 120.04871",,4,91,52/90,5-19,25-44,5-19,0-1
20.0447,lobata,lisque,20.1001,NaN,tube_1,1.72,SE,"34.69465, 120.04872",,3,92,52/91,5-20,25-45,5-20,0-0
20.0448,lobata,lisque,20.1001,NaN,tube_2,NaN,SE,"34.69465, 120.04873",,2,93,52/92,5-21,25-46,5-21,0-1
20.0039,lobata,lisque,20.1001,NaN,tube_3,1.57,SW,"34.69465, 120.04874",,1,94,52/93,5-22,25-47,5-22,0-2
20.004,lobata,lisque,20.1001,NaN,tube_1,1.29,SW,"34.69465, 120.04875",,0,95,52/94,5-23,25-48,5-23,0-3
20.0038,lobata,lisque,20.1001,NaN,tube_2,NaN,SW,"34.69465, 120.04876",,1,96,52/95,5-24,25-49,5-24,0-4
20.1001,lobata,lisque,20.1001,NaN,tree,NaN,NaN,"34.69465, 120.04877",,2,97,52/96,5-25,25-50,5-25,0-5
20.0081,lobata,lisque,20.1001,NaN,soils bag,NaN,N,"34.69465, 120.04877",,2,97,52/96,5-25,25-50,5-25,0-5
20.0798,lobata,lisque,20.1001,NaN,root bag,NaN,N,"34.69465, 120.04877",,2,97,52/96,5-25,25-50,5-25,0-5
20.0445,lobata,lisque,20.1001,NaN,soils bag,NaN,SE,"34.69465, 120.04877",,2,97,52/96,5-25,25-50,5-25,0-5
20.0691,lobata,lisque,20.1001,NaN,root bag,NaN,SE,"34.69465, 120.04877",,2,97,52/96,5-25,25-50,5-25,0-5
20.0037,lobata,lisque,20.1001,NaN,soils bag,NaN,SW,"34.69465, 120.04877",,2,97,52/96,5-25,25-50,5-25,0-5
20.0706,lobata,lisque,20.1001,NaN,root bag,NaN,SW,"34.69465, 120.04877",,2,97,52/96,5-25,25-50,5-25,0-5
20.0471,lobata,lisque,20.1002,NaN,tube_3,1.52,N,"34.69437, 120.04815",,8,106,14/87,5-16,25-41,25-41,0-4
20.0470,lobata,lisque,20.1002,NaN,tube_1,1.68,N,"34.69437, 120.04816",,7,107,14/88,5-17,25-42,25-42,0-3
20.0472,lobata,lisque,20.1002,NaN,tube_2,NaN,N,"34.69437, 120.04817",,6,108,14/89,5-18,25-43,25-43,0-2
20.0231,lobata,lisque,20.1002,NaN,tube_3,1.57,SE,"34.69437, 120.04818",,5,109,14/90,5-19,25-44,25-44,0-1
20.0232,lobata,lisque,20.1002,NaN,tube_1,1.24,SE,"34.69437, 120.04819",,4,110,14/91,5-20,25-45,25-45,0-0
20.0230,lobata,lisque,20.1002,NaN,tube_2,NaN,SE,"34.69437, 120.04820",,3,111,14/92,5-21,25-46,25-46,0-1
20.0439,lobata,lisque,20.1002,NaN,tube_3,1.49,SW,"34.69437, 120.04821",,2,112,14/93,5-22,25-47,25-47,0-2
20.0440,lobata,lisque,20.1002,NaN,tube_1,1.31,SW,"34.69437, 120.04822",,1,113,14/94,5-23,25-48,25-48,0-3
20.0438,lobata,lisque,20.1002,NaN,tube_1,NaN,SW,"34.69437, 120.04823",,0,114,14/95,5-24,25-49,25-49,0-4
20.1002,lobata,lisque,20.1002,NaN,tree,NaN,NaN,"34.69437, 120.04824",,1,115,14/96,5-25,25-50,25-50,0-5
20.0469,lobata,lisque,20.1002,NaN,soils bag,NaN,N,"34.69437, 120.04824",,1,115,14/96,5-25,25-50,25-50,0-5
20.0716,lobata,lisque,20.1002,NaN,root bag,NaN,N,"34.69437, 120.04824",,1,115,14/96,5-25,25-50,25-50,0-5
20.0229,lobata,lisque,20.1002,NaN,soils bag,NaN,SE,"34.69437, 120.04824",,1,115,14/96,5-25,25-50,25-50,0-5
20.0700,lobata,lisque,20.1002,NaN,root bag,NaN,SE,"34.69437, 120.04824",,1,115,14/96,5-25,25-50,25-50,0-5
20.0437,lobata,lisque,20.1002,NaN,soils bag,NaN,SW,"34.69437, 120.04824",,1,115,14/96,5-25,25-50,25-50,0-5
20.0796,lobata,lisque,20.1002,NaN,root bag,NaN,SW,"34.69437, 120.04824",,1,115,14/96,5-25,25-50,25-50,0-5
20.0208,lobata,lisque,20.1003,NaN,tube_2,1.52,N,"34.69387, 120.04752",,9,099,17/87,0-4,50-66,25-41,5-16
20.0206,lobata,lisque,20.1003,NaN,tube_3,1.60,N,"34.69387, 120.04753",,8,100,17/88,0-3,50-67,25-42,5-17
20.0207,lobata,lisque,20.1003,NaN,tube_1,NaN,N,"34.69387, 120.04754",,7,101,17/89,0-2,50-68,25-43,5-18
20.0043,lobata,lisque,20.1003,NaN,tube_2,1.75,SE,"34.69387, 120.04755",,6,102,17/90,0-1,50-69,25-44,5-19
20.0042,lobata,lisque,20.1003,NaN,tube_3,1.41,SE,"34.69387, 120.04756",,5,103,17/91,0-0,50-70,25-45,5-20
20.0044,lobata,lisque,20.1003,NaN,tube_1,NaN,SE,"34.69387, 120.04757",,4,104,17/92,0-1,50-71,25-46,5-21
20.0371,lobata,lisque,20.1003,NaN,tube_2,1.33,SW,"34.69387, 120.04758",,3,105,17/93,0-2,50-72,25-47,5-22
20.037,lobata,lisque,20.1003,NaN,tube_3,1.70,SW,"34.69387, 120.04759",,2,106,17/94,0-3,50-73,25-48,5-23
20.0372,lobata,lisque,20.1003,NaN,tube_1,NaN,SW,"34.69387, 120.04760",,1,107,17/95,0-4,50-74,25-49,5-24
20.1003,lobata,lisque,20.1003,NaN,tree,NaN,NaN,"34.69387, 120.04761",,0,108,17/96,0-5,50-75,25-50,5-25
20.0205,lobata,lisque,20.1003,NaN,soils bag,NaN,N,"34.69387, 120.04761",,0,108,17/96,0-5,50-75,25-50,5-25
20.0651,lobata,lisque,20.1003,NaN,root bag,NaN,N,"34.69387, 120.04761",,0,108,17/96,0-5,50-75,25-50,5-25
20.0041,lobata,lisque,20.1003,NaN,soils bag,NaN,SE,"34.69387, 120.04761",,0,108,17/96,0-5,50-75,25-50,5-25
20.0749,lobata,lisque,20.1003,NaN,root bag,NaN,SE,"34.69387, 120.04761",,0,108,17/96,0-5,50-75,25-50,5-25
20.0369,lobata,lisque,20.1003,NaN,soils bag,NaN,SW,"34.69387, 120.04761",,0,108,17/96,0-5,50-75,25-50,5-25
20.066,lobata,lisque,20.1003,NaN,root bag,NaN,SW,"34.69387, 120.04761",,0,108,17/96,0-5,50-75,25-50,5-25
20.0007,lobata,lisque,20.1004,NaN,tube_2,1.22,N,"34.69393, 120.04791",,9,099,32/87,0-4,25-41,5-16,5-16
20.0006,lobata,lisque,20.1004,NaN,tube_3,1.50,N,"34.69393, 120.04792",,8,100,32/88,0-3,25-42,5-17,5-17
20.0008,lobata,lisque,20.1004,NaN,tube_1,NaN,N,"34.69393, 120.04793",,7,101,32/89,0-2,25-43,5-18,5-18
20.0550,lobata,lisque,20.1004,NaN,tube_1,1.21,SE,"34.69393, 120.04794",,6,102,32/90,0-1,25-44,5-19,5-19
20.0551,lobata,lisque,20.1004,NaN,tube_2,1.63,SE,"34.69393, 120.04795",,5,103,32/91,0-0,25-45,5-20,5-20
20.0552,lobata,lisque,20.1004,NaN,tube_3,NaN,SE,"34.69393, 120.04796",,4,104,32/92,0-1,25-46,5-21,5-21
20.0636,lobata,lisque,20.1004,NaN,tube_1,1.78,SW,"34.69393, 120.04797",,3,105,32/93,0-2,25-47,5-22,5-22
20.0635,lobata,lisque,20.1004,NaN,tube_2,1.51,SW,"34.69393, 120.04798",,2,106,32/94,0-3,25-48,5-23,5-23
20.0634,lobata,lisque,20.1004,NaN,tube_3,NaN,SW,"34.69393, 120.04799",,1,107,32/95,0-4,25-49,5-24,5-24
