ID,pH1,pH2,pH3,Vial_type
20.0001,6.99,7.16,7.17,Falcon
20.0005,6.81,6.85,6.88,TUBE UNKNOWN
20.0009,6.53,6.65,6.67,Falcon
20.0013,6.27,6.40,6.41,Falcon
20.0025,6.02,6.00,5.95,TUBE UNKNOWN
20.0029,6.45,6.55,6.54,SCINT
20.0033,6.35,6.35,6.39,SCINT
20.0037,6.86,6.83,6.80,TUBE UNKNOWN
20.0041,7.05,7.08,7.12,Falcon
20.0045,6.49,6.44,6.42,SCINT
20.0049,6.77,6.77,6.78,TUBE UNKNOWN
20.0053,6.01,5.99,5.98,SCINT
20.0057,6.47,6.58,6.60,TUBE UNKNOWN
20.0061,6.09,6.08,6.13,SCINT
20.0069,5.87,5.61,5.72,TUBE UNKNOWN
20.0070,6.27,6.22,6.20,Falcon
20.0081,5.88,5.92,5.95,SCINT
20.0089,6.69,6.71,6.71,SCINT
20.0093,6.07,6.02,6.01,SCINT
20.0097,6.78,6.81,6.82,TUBE UNKNOWN
20.0101,6.30,6.30,6.27,TUBE UNKNOWN
20.0105,6.75,6.50,6.49,SCINT
20.0109,6.44,6.46,6.45,TUBE UNKNOWN
20.0113,6.19,6.21,6.22,TUBE UNKNOWN
20.0117,6.69,6.71,6.74,TUBE UNKNOWN
20.0121,6.33,6.35,6.36,Falcon
20.0125,6.73,6.91,6.94,Falcon
20.0129,6.70,6.73,6.77,Falcon
20.0133,6.68,6.69,6.70,TUBE UNKNOWN
20.0137,6.44,6.43,6.43,SCINT
20.0141,6.19,6.14,6.12,TUBE UNKNOWN
20.0145,5.86,5.77,5.71,SCINT
20.0149,5.98,5.98,6.01,SCINT
20.0153,6.60,6.57,6.57,SCINT
20.0157,6.77,6.77,6.80,SCINT
20.0161,6.56,6.47,,TUBE UNKNOWN
20.0165,6.10,6.13,6.15,SCINT
20.0169,6.28,6.25,6.22,SCINT
20.0173,6.59,6.61,6.67,SCINT
20.0177,6.64,6.63,6.67,SCINT
20.0181,6.17,6.17,6.18,Falcon
20.0185,6.70,6.80,6.81,SCINT
20.0193,6.18,6.17,6.18,SCINT
20.0197,6.78,6.62,6.84,Falcon
20.0205,6.61,6.60,6.62,SCINT
20.0209,5.91,5.94,5.95,SCINT
20.0213,6.57,6.60,6.64,SCINT
20.0217,6.44,6.51,6.73,SCINT
20.0221,6.05,5.86,5.85,SCINT
20.0225,5.70,5.69,5.70,SCINT
20.0229,6.82,6.89,6.94,TUBE UNKNOWN
20.0233,6.43,6.41,6.40,Falcon
20.0237,6.37,6.39,6.40,Falcon
20.0241,6.76,6.79,6.91,SCINT
20.0249,5.62,5.61,5.60,SCINT
20.0253,6.11,6.13,6.15,SCINT
20.0257,6.79,6.83,6.85,Falcon
20.0261,6.79,6.84,6.86,TUBE UNKNOWN
20.0265,6.55,6.95,6.97,SCINT
