,Transect_ID,Transect_nickname,Position_along_transect_m,Sample_ID,Litter_depth_cm,pH_mean,Vial_type,percent_soil_moisture,QUAG,QUDO,PISA,CEANOTHUS,TOTAL
1,20.2001,Qu.do 1(water tower),0,20.0349,1,6.56,SCINT,24.43531828,0.03968969,0.029480668,0.005265882,0.075850928,0.150287168
2,20.2001,Qu.do 1(water tower),2,20.0357,0.5,6.103333333,TUBE UNKNOWN,28.06304016,0.092140932,0.035617831,0.006084375,0.1354346,0.269277738
3,20.2001,Qu.do 1(water tower),4,20.0185,1.5,6.77,SCINT,20.38934426,0.143851176,0.054537328,0.007202234,0.207427524,0.413018262
4,20.2001,Qu.do 1(water tower),6,20.0329,1.5,6.433333333,Falcon,19.92790937,0.048412008,0.063520566,0.00881853,0.122973086,0.24372419
5,20.2001,Qu.do 1(water tower),8,20.0625,0.5,6.29,SCINT,24.11981083,0.028255964,0.123131761,0.011355382,0.165799843,0.32854295
6,20.2001,Qu.do 1(water tower),10,20.0505,1,6.233333333,Falcon,21.73913043,0.019897066,0.161686843,0.015877193,0.203774465,0.401235567
7,20.2001,Qu.do 1(water tower),12,20.0233,4,6.413333333,Falcon,21.42142142,0.015344787,0.085677181,0.02587204,0.13101904,0.257913048
8,20.2001,Qu.do 1(water tower),14,20.0453,5,6.26,SCINT,19.23480084,0.012484804,0.081557011,0.054522631,0.152613753,0.301178199
9,20.2001,Qu.do 1(water tower),16,20.0537,4,6.21,SCINT,19.15767848,0.010522342,0.075389342,0.044980897,0.137488378,0.268380959
10,20.2001,Qu.do 1(water tower),18,20.0577,5,6.216666667,SCINT,20.44057377,0.009092545,0.064993453,0.022544584,0.112033143,0.208663725
11,20.2001,Qu.do 1(water tower),20,20.0217,5,6.56,SCINT,19.01081917,0.008004592,0.059713526,0.014500138,0.087290809,0.169509065
12,20.2001,Qu.do 1(water tower),22,20.0321,4,5.863333333,Falcon,19.83556012,0.00714904,0.062589908,0.010623761,0.085806368,0.166169077
13,20.2001,Qu.do 1(water tower),24,20.0425,3.5,6.426666667,SCINT,19.61894954,0.006458641,0.083810933,0.008368379,0.106160588,0.204798541
14,20.2001,Qu.do 1(water tower),26,20.0077,9,6.23,Falcon,21.1311054,0.005889799,0.310641724,0.006898277,0.337822662,0.661252462
15,20.2001,Qu.do 1(water tower),28,20.0541,0.5,6.88,Falcon,46.86861811,0.005413017,0.205374118,0.00586566,0.232370893,0.449023688
16,20.2001,Qu.do 1(water tower),30,20.0029,0.5,6.513333333,SCINT,21.45417307,0.005007627,0.097800732,0.005101087,0.118493667,0.226403113
17,20.2002,Holly Hollow,0,20.0033,0.25,6.363333333,SCINT,23.21152856,1.01703363,0.113331676,0.002000427,1.145826652,2.278192385
18,20.2002,Holly Hollow,2,20.0609,2.5,6.423333333,SCINT,30.46391753,0.112760068,0.300582993,0.003686063,0.431940871,0.848969995
19,20.2002,Holly Hollow,4,20.0289,0.5,6.323333333,SCINT,24.2002064,0.072135302,0.060270007,0.008314578,0.157395748,0.298115635
20,20.2002,Holly Hollow,6,20.0597,NA,6.403333333,SCINT,21.43589744,0.059064301,0.034071892,0.003487038,0.115466703,0.212089934
21,20.2002,Holly Hollow,8,20.0589,4,6.58,SCINT,24.21754746,0.049186681,0.023853371,0.001925762,0.096486637,0.171452451
22,20.2002,Holly Hollow,10,20.067,1.5,6.393333333,SCINT,20.8140134,0.043215544,0.018435905,0.001334561,0.087786037,0.150772047
23,20.2002,Holly Hollow,12,20.0533,0.5,6.246666667,SCINT,24.53608247,0.041187728,0.015118078,0.00102598,0.085980363,0.143312149
24,20.2002,Holly Hollow,14,20.0025,6,5.99,TUBE UNKNOWN,20.77590607,0.043160739,0.012939965,0.000835701,0.089540097,0.146476502
25,20.2002,Holly Hollow,16,20.0521,0.25,5.736666667,TUBE UNKNOWN,20.16048144,0.051778808,0.011532005,0.000706098,0.09939679,0.163413701
26,20.2002,Holly Hollow,18,20.0617,5,6.223333333,SCINT,21.80143296,0.069356233,0.010979622,0.000611846,0.116695726,0.197643427
27,20.2002,Holly Hollow,20,20.0621,3,6.5,Falcon,20.47082907,0.076481216,0.014369915,0.000540066,0.125687073,0.21707827
28,20.2002,Holly Hollow,22,20.0561,3,6.54,Falcon,20.73544433,0.097650922,0.009863577,0.000483497,0.140052807,0.248050803
29,20.2002,Holly Hollow,24,20.0045,2,6.45,SCINT,19.01808786,0.064510261,0.007953823,0.000437725,0.102158244,0.175060053
